"Observed"	"InvSimpson"
"CDC2Plate10A01"	131	10.5998720606371
"CDC2Plate10A02"	132	11.8842099348057
"CDC2Plate10A03"	171	7.71412125433667
"CDC2Plate10A04"	131	11.6340165243634
"CDC2Plate10A05"	173	12.0970996545918
"CDC2Plate10A06"	159	14.6322825131077
"CDC2Plate10A08"	130	11.1661639255582
"CDC2Plate10A09"	150	9.71486618750954
"CDC2Plate10A10"	144	10.1389485583175
"CDC2Plate10A11"	143	6.33402533340269
"CDC2Plate10B01"	170	9.27763165641594
"CDC2Plate10B02"	128	9.32020363328227
"CDC2Plate10B03"	119	6.93376909588761
"CDC2Plate10B04"	113	9.0478625871121
"CDC2Plate10B05"	165	8.49543172964945
"CDC2Plate10B06"	130	10.6676672300735
"CDC2Plate10B07"	122	5.43124007953046
"CDC2Plate10B08"	101	9.10941430063873
"CDC2Plate10B10"	140	13.2376617401111
"CDC2Plate10B11"	141	6.3557457128923
"CDC2Plate10B12"	129	9.18858080188669
"CDC2Plate10C02"	123	8.18623804553545
"CDC2Plate10C03"	142	9.77847682589254
"CDC2Plate10C04"	131	11.2355233443034
"CDC2Plate10C05"	142	5.71449212637431
"CDC2Plate10C06"	126	11.5630591290093
"CDC2Plate10C07"	130	6.67392331577302
"CDC2Plate10C08"	112	5.81806107167179
"CDC2Plate10C09"	152	7.4445448664605
"CDC2Plate10C10"	129	11.0835950659419
"CDC2Plate10C11"	153	5.54173129454037
"CDC2Plate10C12"	138	9.85791347859739
"CDC2Plate10D01"	191	11.2205057369412
"CDC2Plate10D02"	134	12.9048800697122
"CDC2Plate10D03"	136	6.31177039299918
"CDC2Plate10D04"	123	10.8691303503024
"CDC2Plate10D05"	163	12.2403663138677
"CDC2Plate10D06"	122	8.1703281304592
"CDC2Plate10D07"	138	9.73043979066466
"CDC2Plate10D08"	119	8.52276336199522
"CDC2Plate10D09"	154	8.58262967087108
"CDC2Plate10D10"	146	11.5807881321454
"CDC2Plate10D11"	125	6.74372383298761
"CDC2Plate10D12"	131	10.1647631812274
"CDC2Plate10E01"	185	9.54209699551145
"CDC2Plate10E02"	123	11.6481359266642
"CDC2Plate10E03"	144	8.59124810158878
"CDC2Plate10E04"	105	9.91189234612241
"CDC2Plate10E05"	173	8.82624829036424
"CDC2Plate10E07"	137	6.63542959052804
"CDC2Plate10E08"	120	9.52180338525725
"CDC2Plate10E09"	153	10.1837105020393
"CDC2Plate10E10"	164	12.4269077526532
"CDC2Plate10E11"	145	6.07910543011765
"CDC2Plate10E12"	137	10.4197708646577
"CDC2Plate10F01"	159	9.76941102484214
"CDC2Plate10F02"	166	10.2511025128619
"CDC2Plate10F03"	167	13.9869885607473
"CDC2Plate10F04"	151	9.99237730831782
"CDC2Plate10F05"	120	8.48339094002652
"CDC2Plate10F06"	161	11.169728243194
"CDC2Plate10F07"	171	18.1447390602798
"CDC2Plate10F08"	163	10.9260765845134
"CDC2Plate10F09"	91	6.17154225534362
"CDC2Plate10F10"	164	8.65315826195815
"CDC2Plate10F11"	170	6.29951860468519
"CDC2Plate10F12"	178	15.4919923406115
"CDC2Plate10G01"	122	11.3263256994754
"CDC2Plate10G02"	108	6.88491702112773
"CDC2Plate10G03"	125	12.3992028573706
"CDC2Plate10G04"	101	6.93013972055888
"CDC2Plate10G05"	71	5.59061538914604
"CDC2Plate10G06"	119	9.06145134653851
"CDC2Plate10G07"	118	7.42702623441483
"CDC2Plate10G08"	130	6.49686522656977
"CDC2Plate10G09"	106	9.23145090300217
"CDC2Plate10G10"	148	10.8290201380264
"CDC2Plate10G11"	141	12.6715661463926
"CDC2Plate10G12"	141	9.27121342400391
"CDC2Plate10H03"	192	16.8703965069047
"CDC2Plate10H04"	171	16.5977328646507
"CDC2Plate10H05"	109	10.1172200184388
"CDC2Plate10H06"	142	9.39339551812849
"CDC2Plate10H07"	136	9.10008613342452
"CDC2Plate10H08"	131	10.2698834000185
"CDC2Plate10H09"	118	5.34678740140367
"CDC2Plate10H10"	130	11.1959120025485
"CDC2Plate11A01"	103	8.16323512332936
"CDC2Plate11A02"	105	11.5902134733478
"CDC2Plate11A03"	174	9.27758167477395
"CDC2Plate11A05"	155	14.7228248789055
"CDC2Plate11A06"	94	7.80212347122078
"CDC2Plate11A07"	100	7.19528367712742
"CDC2Plate11A08"	90	5.86172214696046
"CDC2Plate11A09"	99	7.89599759742529
"CDC2Plate11A10"	80	8.45075620025321
"CDC2Plate11A11"	84	7.13010772245019
"CDC2Plate11A12"	91	9.80965749807343
"CDC2Plate11B01"	87	6.1360210486345
"CDC2Plate11B02"	92	10.8821702984097
"CDC2Plate11B03"	167	9.16087676975086
"CDC2Plate11B04"	119	11.0523218314085
"CDC2Plate11B05"	146	10.3024284852937
"CDC2Plate11B06"	116	10.8510694413377
"CDC2Plate11B07"	157	10.7894849192877
"CDC2Plate11B08"	134	6.21920310743885
"CDC2Plate11B09"	152	12.2243045432536
"CDC2Plate11B10"	108	7.34555339271019
"CDC2Plate11B11"	65	2.88230780036284
"CDC2Plate11B12"	51	2.01750887665419
"CDC2Plate11C01"	59	5.99662332571575
"CDC2Plate11C02"	69	7.36439630875548
"CDC2Plate11C03"	108	6.53379899115902
"CDC2Plate11C04"	94	5.22033929132462
"CDC2Plate11C05"	138	9.53650716299057
