SampleID	Reactor	Treatment	Stoole Sample	Time
CDC2Plate10A01	NEBR5E04	Metronidazole	FS04	A
CDC2Plate10A10	NEBR6A01	Untreated	FS05	A
CDC2Plate10A11	NEBR6A02	Untreated	FS06	A
CDC2Plate10B01	NEBR6A04	Untreated	FS08	A
CDC2Plate10B02	NEBR6A05	Imipenem	FS05	A
CDC2Plate10B03	NEBR6A06	Imipenem	FS06	A
CDC2Plate10B04	NEBR6A07	Imipenem	FS07	A
CDC2Plate10B05	NEBR6A08	Imipenem	FS08	A
CDC2Plate10B06	NEBR6A09	Doxycycline	FS05	A
CDC2Plate10B07	NEBR6A10	Doxycycline	FS06	A
CDC2Plate10B08	NEBR6A11	Doxycycline	FS07	A
CDC2Plate10B10	NEBR6B01	Fidaxomicin	FS05	A
CDC2Plate10B11	NEBR6B02	Fidaxomicin	FS06	A
CDC2Plate10B12	NEBR6B03	Fidaxomicin	FS07	A
CDC2Plate10C02	NEBR6B05	Sulfamethoxazole	FS05	A
CDC2Plate10C03	NEBR6B06	Sulfamethoxazole	FS06	A
CDC2Plate10C04	NEBR6B07	Sulfamethoxazole	FS07	A
CDC2Plate10C05	NEBR6B08	Sulfamethoxazole	FS08	A
CDC2Plate10C06	NEBR6B09	Ceftriaxone	FS05	A
CDC2Plate10C07	NEBR6B10	Ceftriaxone	FS06	A
CDC2Plate10C08	NEBR6B11	Ceftriaxone	FS07	A
CDC2Plate10C09	NEBR6B12	Ceftriaxone	FS08	A
CDC2Plate10C10	NEBR6C01	Clindamycin	FS05	A
CDC2Plate10C11	NEBR6C02	Clindamycin	FS06	A
CDC2Plate10C12	NEBR6C03	Clindamycin	FS07	A
CDC2Plate10D01	NEBR6C04	Clindamycin	FS08	A
CDC2Plate10D02	NEBR6C05	Cefaclor	FS05	A
CDC2Plate10D03	NEBR6C06	Cefaclor	FS06	A
CDC2Plate10D04	NEBR6C07	Cefaclor	FS07	A
CDC2Plate10D05	NEBR6C08	Cefaclor	FS08	A
CDC2Plate10D06	NEBR6C09	Vancomycin	FS05	A
CDC2Plate10D07	NEBR6C10	Vancomycin	FS06	A
CDC2Plate10D08	NEBR6C11	Vancomycin	FS07	A
CDC2Plate10D09	NEBR6C12	Vancomycin	FS08	A
CDC2Plate10D10	NEBR6D01	Ciprofloxacin	FS05	A
CDC2Plate10D11	NEBR6D02	Ciprofloxacin	FS06	A
CDC2Plate10D12	NEBR6D03	Ciprofloxacin	FS07	A
CDC2Plate10E01	NEBR6D04	Ciprofloxacin	FS08	A
CDC2Plate10E02	NEBR6D05	Augmentin	FS05	A
CDC2Plate10E03	NEBR6D06	Augmentin	FS06	A
CDC2Plate10E04	NEBR6D07	Augmentin	FS07	A
CDC2Plate10E05	NEBR6D08	Augmentin	FS08	A
CDC2Plate10E07	NEBR6D10	Azithromycin	FS06	A
CDC2Plate10E08	NEBR6D11	Azithromycin	FS07	A
CDC2Plate10E09	NEBR6D12	Azithromycin	FS08	A
CDC2Plate10E10	NEBR6E01	Metronidazole	FS05	A
CDC2Plate10E11	NEBR6E02	Metronidazole	FS06	A
CDC2Plate10E12	NEBR6E03	Metronidazole	FS07	A
CDC2Plate10F01	NEBR6E04	Metronidazole	FS08	A
CDC2Plate10F10	NEBR5A01	Untreated	FS01	B
CDC2Plate10F11	NEBR5A02	Untreated	FS02	B
CDC2Plate10F12	NEBR5A03	Untreated	FS03	B
CDC2Plate10G01	NEBR5A04	Untreated	FS04	B
CDC2Plate10G02	NEBR5A05	Imipenem	FS01	B
CDC2Plate10G03	NEBR5A06	Imipenem	FS02	B
CDC2Plate10G05	NEBR5A08	Imipenem	FS04	B
CDC2Plate10G06	NEBR5A09	Doxycycline	FS01	B
CDC2Plate10G07	NEBR5A10	Doxycycline	FS02	B
CDC2Plate10G08	NEBR5A11	Doxycycline	FS03	B
CDC2Plate10G09	NEBR5A12	Doxycycline	FS04	B
CDC2Plate10G10	NEBR5B01	Fidaxomicin	FS01	B
CDC2Plate10G11	NEBR5B02	Fidaxomicin	FS02	B
CDC2Plate10G12	NEBR5B03	Fidaxomicin	FS03	B
CDC2Plate10H03	NEBR5B06	Sulfamethoxazole	FS02	B
CDC2Plate10H04	NEBR5B07	Sulfamethoxazole	FS03	B
CDC2Plate10H05	NEBR5B08	Sulfamethoxazole	FS04	B
CDC2Plate10H06	NEBR5B09	Ceftriaxone	FS01	B
CDC2Plate10H07	NEBR5B10	Ceftriaxone	FS02	B
CDC2Plate10H08	NEBR5B11	Ceftriaxone	FS03	B
CDC2Plate10H09	NEBR5C01	Clindamycin	FS01	B
CDC2Plate10H10	NEBR5C02	Clindamycin	FS02	B
CDC2Plate11A01	NEBR5C03	Clindamycin	FS03	B
CDC2Plate11A02	NEBR5C04	Clindamycin	FS04	B
CDC2Plate11A03	NEBR5C05	Cefaclor	FS01	B
CDC2Plate11A05	NEBR5C07	Cefaclor	FS03	B
CDC2Plate11A06	NEBR5C08	Cefaclor	FS04	B
CDC2Plate11A07	NEBR5C09	Vancomycin	FS01	B
CDC2Plate11A08	NEBR5C10	Vancomycin	FS02	B
CDC2Plate11A09	NEBR5C11	Vancomycin	FS03	B
CDC2Plate11A10	NEBR5C12	Vancomycin	FS04	B
CDC2Plate11A11	NEBR5D01	Ciprofloxacin	FS01	B
CDC2Plate11A12	NEBR5D02	Ciprofloxacin	FS02	B
CDC2Plate11B01	NEBR5D03	Ciprofloxacin	FS03	B
CDC2Plate11B02	NEBR5D04	Ciprofloxacin	FS04	B
CDC2Plate11B03	NEBR5D05	Augmentin	FS01	B
CDC2Plate11B04	NEBR5D06	Augmentin	FS02	B
CDC2Plate11B05	NEBR5D07	Augmentin	FS03	B
CDC2Plate11B06	NEBR5D08	Augmentin	FS04	B
CDC2Plate11B07	NEBR5D09	Azithromycin	FS01	B
CDC2Plate11B08	NEBR5D10	Azithromycin	FS02	B
CDC2Plate11B09	NEBR5D11	Azithromycin	FS03	B
CDC2Plate11B10	NEBR5D12	Azithromycin	FS04	B
CDC2Plate11B11	NEBR5E01	Metronidazole	FS01	B
CDC2Plate11B12	NEBR5E02	Metronidazole	FS02	B
CDC2Plate11C01	NEBR5E03	Metronidazole	FS03	B
CDC2Plate11C02	NEBR5E04	Metronidazole	FS04	B
CDC2Plate11C11	NEBR6A01	Untreated	FS05	B
CDC2Plate11C12	NEBR6A02	Untreated	FS06	B
CDC2Plate11D02	NEBR6A04	Untreated	FS08	B
CDC2Plate11D03	NEBR6A05	Imipenem	FS05	B
CDC2Plate11D04	NEBR6A06	Imipenem	FS06	B
CDC2Plate11D05	NEBR6A07	Imipenem	FS07	B
CDC2Plate11D06	NEBR6A08	Imipenem	FS08	B
CDC2Plate11D07	NEBR6A09	Doxycycline	FS05	B
CDC2Plate11D08	NEBR6A10	Doxycycline	FS06	B
CDC2Plate11D09	NEBR6A11	Doxycycline	FS07	B
CDC2Plate11D11	NEBR6B01	Fidaxomicin	FS05	B
CDC2Plate11D12	NEBR6B02	Fidaxomicin	FS06	B
CDC2Plate11E01	NEBR6B03	Fidaxomicin	FS07	B
CDC2Plate11E03	NEBR6B05	Sulfamethoxazole	FS05	B
CDC2Plate11E04	NEBR6B06	Sulfamethoxazole	FS06	B
CDC2Plate11E05	NEBR6B07	Sulfamethoxazole	FS07	B
CDC2Plate11E06	NEBR6B08	Sulfamethoxazole	FS08	B
CDC2Plate11E07	NEBR6B09	Ceftriaxone	FS05	B
CDC2Plate11E08	NEBR6B10	Ceftriaxone	FS06	B
CDC2Plate11E09	NEBR6B11	Ceftriaxone	FS07	B
CDC2Plate11E10	NEBR6B12	Ceftriaxone	FS08	B
CDC2Plate11E11	NEBR6C01	Clindamycin	FS05	B
CDC2Plate11E12	NEBR6C02	Clindamycin	FS06	B
CDC2Plate11F01	NEBR6C03	Clindamycin	FS07	B
CDC2Plate11F02	NEBR6C04	Clindamycin	FS08	B
CDC2Plate11F03	NEBR6C05	Cefaclor	FS05	B
CDC2Plate11F04	NEBR6C06	Cefaclor	FS06	B
CDC2Plate11F05	NEBR6C07	Cefaclor	FS07	B
CDC2Plate11F06	NEBR6C08	Cefaclor	FS08	B
CDC2Plate11F07	NEBR6C09	Vancomycin	FS05	B
CDC2Plate11F08	NEBR6C10	Vancomycin	FS06	B
CDC2Plate11F09	NEBR6C11	Vancomycin	FS07	B
CDC2Plate11F10	NEBR6C12	Vancomycin	FS08	B
CDC2Plate11F11	NEBR6D01	Ciprofloxacin	FS05	B
CDC2Plate11F12	NEBR6D02	Ciprofloxacin	FS06	B
CDC2Plate11G01	NEBR6D03	Ciprofloxacin	FS07	B
CDC2Plate11G02	NEBR6D04	Ciprofloxacin	FS08	B
CDC2Plate11G03	NEBR6D05	Augmentin	FS05	B
CDC2Plate11G04	NEBR6D06	Augmentin	FS06	B
CDC2Plate11G05	NEBR6D07	Augmentin	FS07	B
CDC2Plate11G06	NEBR6D08	Augmentin	FS08	B
CDC2Plate11G08	NEBR6D10	Azithromycin	FS06	B
CDC2Plate11G09	NEBR6D11	Azithromycin	FS07	B
CDC2Plate11G10	NEBR6D12	Azithromycin	FS08	B
CDC2Plate11G11	NEBR6E01	Metronidazole	FS05	B
CDC2Plate11G12	NEBR6E02	Metronidazole	FS06	B
CDC2Plate11H01	NEBR6E03	Metronidazole	FS07	B
CDC2Plate11H02	NEBR6E04	Metronidazole	FS08	B
CDC2Plate12A01	NEBR5A01	Untreated	FS01	C
CDC2Plate12A02	NEBR5A02	Untreated	FS02	C
CDC2Plate12A03	NEBR5A03	Untreated	FS03	C
CDC2Plate12A04	NEBR5A04	Untreated	FS04	C
CDC2Plate12A05	NEBR5A05	Imipenem	FS01	C
CDC2Plate12A06	NEBR5A06	Imipenem	FS02	C
CDC2Plate12A08	NEBR5A08	Imipenem	FS04	C
CDC2Plate12A09	NEBR5A09	Doxycycline	FS01	C
CDC2Plate12A10	NEBR5A10	Doxycycline	FS02	C
CDC2Plate12A11	NEBR5A11	Doxycycline	FS03	C
CDC2Plate12A12	NEBR5A12	Doxycycline	FS04	C
CDC2Plate12B01	NEBR5B01	Fidaxomicin	FS01	C
CDC2Plate12B02	NEBR5B02	Fidaxomicin	FS02	C
CDC2Plate12B03	NEBR5B03	Fidaxomicin	FS03	C
CDC2Plate12B06	NEBR5B06	Sulfamethoxazole	FS02	C
CDC2Plate12B07	NEBR5B07	Sulfamethoxazole	FS03	C
CDC2Plate12B08	NEBR5B08	Sulfamethoxazole	FS04	C
CDC2Plate12B09	NEBR5B09	Ceftriaxone	FS01	C
CDC2Plate12B10	NEBR5B10	Ceftriaxone	FS02	C
CDC2Plate12B11	NEBR5B11	Ceftriaxone	FS03	C
CDC2Plate12B12	NEBR5C01	Clindamycin	FS01	C
CDC2Plate12C01	NEBR5C02	Clindamycin	FS02	C
CDC2Plate12C02	NEBR5C03	Clindamycin	FS03	C
CDC2Plate12C03	NEBR5C04	Clindamycin	FS04	C
CDC2Plate12C04	NEBR5C05	Cefaclor	FS01	C
CDC2Plate12C06	NEBR5C07	Cefaclor	FS03	C
CDC2Plate12C07	NEBR5C08	Cefaclor	FS04	C
CDC2Plate12C08	NEBR5C09	Vancomycin	FS01	C
CDC2Plate12C09	NEBR5C10	Vancomycin	FS02	C
CDC2Plate12C10	NEBR5C11	Vancomycin	FS03	C
CDC2Plate12C11	NEBR5C12	Vancomycin	FS04	C
CDC2Plate12C12	NEBR5D01	Ciprofloxacin	FS01	C
CDC2Plate12D01	NEBR5D02	Ciprofloxacin	FS02	C
CDC2Plate12D02	NEBR5D03	Ciprofloxacin	FS03	C
CDC2Plate12D03	NEBR5D04	Ciprofloxacin	FS04	C
CDC2Plate12D05	NEBR5D06	Augmentin	FS02	C
CDC2Plate12D06	NEBR5D07	Augmentin	FS03	C
CDC2Plate12D07	NEBR5D08	Augmentin	FS04	C
CDC2Plate12D08	NEBR5D09	Azithromycin	FS01	C
CDC2Plate12D09	NEBR5D10	Azithromycin	FS02	C
CDC2Plate12D10	NEBR5D11	Azithromycin	FS03	C
CDC2Plate12D11	NEBR5D12	Azithromycin	FS04	C
CDC2Plate12D12	NEBR5E01	Metronidazole	FS01	C
CDC2Plate12E01	NEBR5E02	Metronidazole	FS02	C
CDC2Plate12E02	NEBR5E03	Metronidazole	FS03	C
CDC2Plate12E03	NEBR5E04	Metronidazole	FS04	C
CDC2Plate12F01	NEBR6A02	Untreated	FS06	C
CDC2Plate12F03	NEBR6A04	Untreated	FS08	C
CDC2Plate12F04	NEBR6A05	Imipenem	FS05	C
