SampleID	Project	Model	Treatment	Stool	Time	Mouse_Fecal	Mouse Strain	PCoA	Order
CDC2Plate9A04	CDC2	Inoculum	Untreated	FS04	I	NA	NA	Y	A01
CDC2Plate9B04	CDC2	Inoculum	Untreated	FS04	I	NA	NA	Y	A02
CDC2Plate9C04	CDC2	Inoculum	Untreated	FS04	I	NA	NA	Y	A03
CDC2PlateM11F07	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A04
CDC2PlateM11F08	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A05
CDC2PlateM11F09	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A06
CDC2PlateM11F10	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A07
CDC2PlateM5E09	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A08
CDC2PlateM5E10	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A09
CDC2PlateM5E11	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A10
CDC2PlateM3C07	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A100
CDC2PlateM3C08	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A101
CDC2PlateM5C09	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A102
CDC2PlateM5C10	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A103
CDC2PlateM7D01	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A104
CDC2PlateM7D02	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A105
CDC2PlateM7D03	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A106
CDC2PlateM7D04	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A107
CDC2PlateM9A01	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A108
CDC2PlateM9A02	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A109
CDC2PlateM5E12	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A11
CDC2PlateM5F01	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A12
CDC2PlateM5F02	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A13
CDC2PlateM6E05	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A14
CDC2PlateM6E06	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A15
CDC2PlateM6E07	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A16
CDC2PlateM6E08	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A17
CDC2PlateM6E09	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A18
CDC2PlateM6E10	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A19
CDC2PlateM8F05	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A20
CDC2PlateM8F06	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A21
CDC2PlateM11C01	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A22
CDC2PlateM11C02	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A23
CDC2PlateM11C03	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A24
CDC2PlateM11C04	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A25
CDC2PlateM11C05	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A26
CDC2PlateM11C06	CDC2	Mice	Untreated	FS04	B	S46	SW	N	A27
CDC2PlateM4D07	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A28
CDC2PlateM4D08	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A29
CDC2PlateM4D09	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A30
CDC2PlateM5D09	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A31
CDC2PlateM5D10	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A32
CDC2PlateM5D11	CDC2	Mice	Untreated	FS04	B	B46	C57	N	A33
CDC2PlateM6A11	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A34
CDC2PlateM6A12	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A35
CDC2PlateM6B01	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A36
CDC2PlateM6B02	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A37
CDC2PlateM6B03	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A38
CDC2PlateM6B04	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A39
CDC2PlateM8G09	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A40
CDC2PlateM8G10	CDC2	Mice	Untreated	FS04	B	H46	C3H	N	A41
CDC2Plate9A05	CDC2	Inoculum	Untreated	FS05	I	NA	NA	Y	A42
CDC2Plate9B05	CDC2	Inoculum	Untreated	FS05	I	NA	NA	Y	A43
CDC2Plate9C05	CDC2	Inoculum	Untreated	FS05	I	NA	NA	Y	A44
FS39_FS	CDC2	Inoculum	Inoculum	FS05	I	S39A	SW	Y	A45
CDC2Plate8G01	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A46
CDC2Plate8G02	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A47
CDC2Plate8G03	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A48
CDC2Plate8G04	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A49
CDC2PlateM1D07	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A50
CDC2PlateM1D10	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A51
CDC2PlateM1D11	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A52
CDC2PlateM1D12	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A53
CDC2PlateM3B05	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A54
CDC2PlateM3B06	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A55
CDC2PlateM5A09	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A56
CDC2PlateM5A10	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A57
CDC2PlateM5A11	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A58
CDC2PlateM5A12	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A59
CDC2PlateM9C10	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A60
CDC2PlateM1A01	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A61
CDC2PlateM1A02	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A62
CDC2PlateM1A03	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A63
CDC2PlateM1A04	CDC2	Mice	Untreated	FS05	B	S39	SW	N	A64
CDC2PlateM2C03	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A65
CDC2PlateM2C04	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A66
CDC2PlateM2C05	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A67
CDC2PlateM2C06	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A68
CDC2PlateM2C07	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A69
CDC2PlateM2C08	CDC2	Mice	Untreated	FS05	B	H39	C3H	N	A70
CDC2PlateM8C07	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A71
CDC2PlateM8C08	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A72
CDC2PlateM9E01	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A73
CDC2PlateM9E02	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A74
CDC2PlateM9E03	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A75
CDC2PlateM9E04	CDC2	Mice	Untreated	FS05	B	B39	C57	N	A76
CDC2Plate9A06	CDC2	Inoculum	Untreated	FS06	I	NA	NA	Y	A78
CDC2Plate9B06	CDC2	Inoculum	Untreated	FS06	I	NA	NA	Y	A79
CDC2Plate9C06	CDC2	Inoculum	Untreated	FS06	I	NA	NA	Y	A80
CDC2PlateM10D10	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A81
CDC2PlateM10D11	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A82
CDC2PlateM10D12	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A83
CDC2PlateM3F05	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A84
CDC2PlateM3F06	CDC2	Mice	Untreated	FS06	B	H38	C3H	N	A85
CDC2PlateM8A11	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A86
CDC2PlateM8A12	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A87
CDC2PlateM8B01	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A88
CDC2PlateM9A09	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A89
CDC2PlateM9A10	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A90
CDC2PlateM9A11	CDC2	Mice	Untreated	FS06	B	S38	SW	N	A91
CDC2PlateM10A05	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A92
CDC2PlateM10A06	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A93
CDC2PlateM10A07	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A94
CDC2PlateM10A08	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A95
CDC2PlateM10A09	CDC2	Mice	Untreated	FS06	B	B38	C57	N	A96
