query_id	species_name	typestrain_id	region_mismatches	region_positions	probability_incompatible	mu1	num_references	mu2	nonregion_positions_in_subject	max_nonregion_mismatches
Otu0001	Escherichia fergusonii	AF530475	0	253	0.00017751040353364278	0.001968503937007874	5	0.001968503937007874	1220	36
Otu0001	Shigella flexneri	X96963	0	253	0.00015745135561007206	0.001968503937007874	5	0.001968503937007874	1235	37
Otu0001	Escherichia coli	X80725	0	253	0.00015548949410670865	0.001968503937007874	5	0.001968503937007874	1197	36
Otu0001	Shigella sonnei	FR870445	0	253	0.000162869696513801	0.001968503937007874	5	0.001968503937007874	1277	38
Otu0001	Escherichia marmotae	KJ787692	0	253	0.00017226051024832323	0.001968503937007874	5	0.001968503937007874	1251	37
Otu0001	Shigella boydii	HF558388	0	253	0.00018302304396833335	0.001968503937007874	5	0.001968503937007874	1262	37
Otu0001	Shigella dysenteriae	X96966	1	253	0.002814298376871416	0.005905511811023622	5	0.005905511811023624	1234	36
Otu0001	Escherichia ruysiae	LR745848	2	253	0.017612855597218147	0.00984251968503937	5	0.00984251968503937	1285	36
Otu0001	Citrobacter koseri	HQ992945	2	253	0.01712634712501393	0.00984251968503937	5	0.00984251968503937	1241	35
Otu0001	Cronobacter dublinensis subsp. lactaridi	EF059838	2	253	0.016902953805471355	0.00984251968503937	5	0.00984251968503937	1127	32
Otu0001	Cronobacter dublinensis subsp. lausannensis	EF059841	2	253	0.01690702110818154	0.00984251968503937	5	0.00984251968503937	1164	33
Otu0001	Cronobacter dublinensis subsp. dublinensis	MF118666	2	253	0.01705740803301714	0.00984251968503937	5	0.00984251968503937	1092	31
Otu0001	Cronobacter turicensis	EF059891	2	253	0.017359620989412017	0.00984251968503937	5	0.00984251968503937	1170	33
Otu0001	Cronobacter condimenti	CAKW01000111	2	253	0.017754337665070064	0.00984251968503937	5	0.00984251968503937	1287	36
Otu0001	Winslowiella iniecta	KM870781	2	253	0.01719772352101412	0.00984251968503937	5	0.00984251968503937	1242	35
Otu0001	Kluyvera georgiana	AF047186	2	253	0.016683431896038048	0.00984251968503937	5	0.00984251968503937	1161	33
Otu0001	Pseudocitrobacter faecalis	KF057941	2	253	0.017276473408923798	0.00984251968503937	5	0.00984251968503937	1206	34
Otu0001	Pseudocitrobacter vendiensis	MK170368	2	253	0.017896501544755528	0.00984251968503937	5	0.00984251968503937	1289	36
Otu0001	Pseudocitrobacter corydidari	MZ182277	2	253	0.01683229070694825	0.00984251968503937	5	0.00984251968503937	1163	33
Otu0001	Intestinirhabdus alba	MK734184	3	253	0.05810298888013177	0.013779527559055118	5	0.01377952755905512	1158	32
Otu0001	Serratia bockelmannii	VOUX01000001	3	253	0.018484544388566615	0.013779527559055118	5	0.01377952755905512	198	8
Otu0001	Serratia nematodiphila	EU036987	3	253	0.06105899398529424	0.013779527559055118	5	0.01377952755905512	1247	34
Otu0001	Serratia marcescens	AB061685	3	253	0.059892127124280714	0.013779527559055118	5	0.01377952755905512	1279	35
Otu0001	Serratia nevei	VTUT01000000	3	253	0.05487113066396587	0.013779527559055118	5	0.01377952755905512	811	23
Otu0001	Escherichia albertii	AJ508775	4	253	0.14839362886454222	0.017716535433070866	5	0.01771653543307086	1241	33
Otu0001	Cronobacter universalis	EF059877	4	253	0.15162045690013748	0.017716535433070866	5	0.01771653543307086	1172	31
Otu0001	Erwinia teleogrylli	KF500917	4	253	0.15670227430189265	0.017716535433070866	5	0.01771653543307086	1106	29
Otu0001	Rosenbergiella epipactidis subsp. epipactidis	KF876184	4	253	0.15131376911516314	0.017716535433070866	5	0.01771653543307086	1248	33
Otu0001	Rosenbergiella australiborealis	KF876187	4	253	0.15131376911516314	0.017716535433070866	5	0.01771653543307086	1248	33
Otu0001	Raoultella planticola	AB680712	4	253	0.15232541501051622	0.017716535433070866	5	0.01771653543307086	1212	32
