query_id	species	typestrain_id	region_mismatches	region_positions	probability_incompatible
Otu0001	Escherichia fergusonii	AF530475	0	253	0.00017751040353364278
Otu0001	Shigella flexneri	X96963	0	253	0.00015745135561007206
Otu0001	Escherichia coli	X80725	0	253	0.00015548949410670865
Otu0001	Shigella sonnei	FR870445	0	253	0.000162869696513801
Otu0001	Escherichia marmotae	KJ787692	0	253	0.00017226051024832323
Otu0001	Shigella boydii	HF558388	0	253	0.00018302304396833335
Otu0001	Shigella dysenteriae	X96966	1	253	0.002814298376871416
Otu0001	Escherichia ruysiae	LR745848	2	253	0.017612855597218147
Otu0001	Citrobacter koseri	HQ992945	2	253	0.01712634712501393
Otu0001	Cronobacter dublinensis subsp. lactaridi	EF059838	2	253	0.016902953805471355
Otu0001	Cronobacter dublinensis subsp. lausannensis	EF059841	2	253	0.01690702110818154
Otu0001	Cronobacter dublinensis subsp. dublinensis	MF118666	2	253	0.01705740803301714
Otu0001	Cronobacter turicensis	EF059891	2	253	0.017359620989412017
Otu0001	Cronobacter condimenti	CAKW01000111	2	253	0.017754337665070064
Otu0001	Winslowiella iniecta	KM870781	2	253	0.01719772352101412
Otu0001	Kluyvera georgiana	AF047186	2	253	0.016683431896038048
Otu0001	Pseudocitrobacter faecalis	KF057941	2	253	0.017276473408923798
Otu0001	Pseudocitrobacter vendiensis	MK170368	2	253	0.017896501544755528
Otu0001	Pseudocitrobacter corydidari	MZ182277	2	253	0.01683229070694825
Otu0001	Intestinirhabdus alba	MK734184	3	253	0.05810298888013177
Otu0001	Serratia bockelmannii	VOUX01000001	3	253	0.018484544388566615
Otu0001	Serratia nematodiphila	EU036987	3	253	0.06105899398529424
Otu0001	Serratia marcescens	AB061685	3	253	0.059892127124280714
Otu0001	Serratia nevei	VTUT01000000	3	253	0.05487113066396587
Otu0001	Escherichia albertii	AJ508775	4	253	0.14839362886454222
Otu0001	Cronobacter universalis	EF059877	4	253	0.15162045690013748
Otu0001	Erwinia teleogrylli	KF500917	4	253	0.15670227430189265
Otu0001	Rosenbergiella epipactidis subsp. epipactidis	KF876184	4	253	0.15131376911516314
Otu0001	Rosenbergiella australiborealis	KF876187	4	253	0.15131376911516314
Otu0001	Raoultella planticola	AB680712	4	253	0.15232541501051622
Otu0001	Rosenbergiella gaditana	MT341811	4	253	0.15232541501051622
Otu0001	Rosenbergiella nectarea subsp. apis	MT341812	4	253	0.1565237134418761
Otu0001	Rosenbergiella epipactidis subsp. californiensis	MT341873	4	253	0.1565237134418761
Otu0001	Rosenbergiella metrosideri	MT341875	4	253	0.1565237134418761
Otu0001	Rosenbergiella epipactidis subsp. japonica	MT341879	4	253	0.15232541501051622
Otu0001	Dryocola clanedunensis	OM971055	4	253	0.1496040090127756
Otu0001	Rosenbergiella nectarea subsp. nectarea	HQ284827	5	254	0.2867030014981765
Otu0001	Franconibacter pulveris	DQ273684	5	253	0.27667576292544926
Otu0001	Pantoea eucrina	EU216736	5	253	0.2901278334469447
Otu0001	Pantoea wallisii	JF295057	5	253	0.2901278334469447
Otu0001	Pantoea dispersa	DQ504305	5	253	0.2922527586361723
Otu0001	Pantoea coffeiphila	KJ427829	5	253	0.2851706785930138
Otu0001	Mixta calida	GQ367478	5	253	0.28725844698624714
Otu0001	Mixta gaviniae	GQ367483	5	253	0.2866312570033347
Otu0001	Winslowiella toletana	FR870447	5	253	0.29541282877469344
Otu0001	Pantoea conspicua	EU216737	5	253	0.2901278334469447
Otu0001	Pantoea allii	AY530795	5	253	0.28678998800033684
Otu0001	Flavobacterium acidificum	JX986959	5	253	0.2969255794736172
Otu0001	Pantoea ananatis	U80196	5	253	0.28646189731042226
Otu0001	Pantoea deleyi	EF688011	5	253	0.2787166761457113
Otu0001	Rosenbergiella collisarenosi	KF876186	5	253	0.2910219076143882
Otu0001	Pantoea anthophila	EF688010	6	253	0.47025605887045074
Otu0001	Salmonella bongori	AF029227	6	253	0.46009496024449736
Otu0001	Kosakonia cowanii	AJ508303	6	253	0.445632175191099
Otu0001	Siccibacter colletis	LK054215	6	253	0.4543015602809716
Otu0001	Cronobacter muytjensii	AJKU01000067	6	253	0.4495726877990329
Otu0001	Cronobacter malonaticus	AJKV01000019	6	253	0.44884107612954194
Otu0001	Cronobacter sakazakii	EF088379	6	253	0.45636589779006376
Otu0001	Franconibacter daqui	KX865161	6	253	0.464550055939274
Otu0001	Franconibacter helveticus	DQ273688	6	253	0.4453656312468661
Otu0001	Erwinia oleae	GU810925	6	253	0.4571128976607697
Otu0001	Izhakiella australiensis	KY744694	6	253	0.4554059372124317
Otu0001	Pluralibacter pyrinus	AJ010486	6	253	0.45613261284273066
Otu0001	Cedecea davisae	ATDT01000040	6	253	0.45467870650542086
Otu0001	Cedecea neteri	AB086230	6	253	0.47577146958979033
Otu0001	Cedecea lapagei	KY797643	6	253	0.47424765386864975
Otu0001	Pantoea stewartii subsp. stewartii	U80208	6	253	0.4581502994032831
Otu0001	Klebsiella electrica	AB762091	6	253	0.45507255794968904
Otu0001	Raoultella ornithinolytica	U78182	6	253	0.4630674416885031
Otu0001	Serratia ficaria	AJ233428	6	253	0.4578593055741106
Otu0001	Serratia entomophila	AJ233427	6	253	0.47339415828169706
Otu0001	Serratia odorifera	AJ233432	6	253	0.4630674416885031
Otu0001	Serratia rubidaea	AJ233436	6	253	0.46824590958684
Otu0001	Gibbsiella greigii	KF308333	6	253	0.4633400015448653
Otu0001	Gibbsiella quercinecans	GU562337	6	253	0.4733650699289733
Otu0001	Gibbsiella dentisursi	AB566415	6	253	0.45830929309600055
Otu0001	Tenebrionibacter intestinalis	MW411192	6	253	0.4496626013475553
Otu0001	Tenebrionicola larvae	MW680835	6	253	0.4503688008097896
Otu0002	Bacteroides faecis	AB547640	1	253	0.0031769496661064878
Otu0002	Bacteroides thetaiotaomicron	AB510710	1	253	0.0029646151202920024
Otu0002	Bacteroides zhangwenhongii	MK583535	1	253	0.002856226809475948
Otu0002	Bacteroides faecichinchillae	AB574480	1	253	0.0028004166905511996
Otu0002	Bacteroides finegoldii	AB222699	4	253	0.14466503337274605
Otu0002	Bacteroides caecimuris	CP015401	5	253	0.2886193311314146
Otu0002	Bacteroides salyersiae	AQHX01000008	5	253	0.2972945459109765
Otu0002	Bacteroides fragilis	CR626927	5	253	0.28678998800033684
Otu0002	Bacteroides hominis	MT905160	5	253	0.3011805920179388
Otu0002	Bacteroides xylanisolvens	AB510713	6	253	0.4650381450175337
Otu0002	Bacteroides acidifaciens	EU136694	6	253	0.4580951142366685
Otu0002	Bacteroides faecalis	MK207058	7	254	0.6252280863013638
Otu0002	Bacteroides luhongzhouii	MK584158	7	253	0.6273339987074251
Otu0002	Bacteroides faecium	MN853409	7	253	0.6227601177754122
Otu0003	Bacteroides xylanisolvens	AB510713	0	253	0.00016960521706488318
Otu0003	Bacteroides luhongzhouii	MK584158	1	253	0.0028844159396542723
Otu0003	Bacteroides caecimuris	CP015401	1	253	0.0029893665329986385
Otu0003	Bacteroides faecium	MN853409	1	253	0.002748114770358301
Otu0003	Bacteroides koreensis	KX025133	2	253	0.01690702110818154
Otu0003	Bacteroides kribbi	KX025134	2	253	0.018130043818127217
Otu0003	Bacteroides ovatus	AB510705	2	253	0.017276473408923798
Otu0003	Bacteroides acidifaciens	EU136694	2	253	0.018736408146954986
Otu0003	Bacteroides finegoldii	AB222699	2	253	0.01649203294331436
Otu0003	Bacteroides facilis	MT905157	2	253	0.015879035066133196
Otu0003	Bacteroides faecis	AB547640	5	253	0.29937592066572727
Otu0003	Bacteroides thetaiotaomicron	AB510710	5	253	0.29033602835725925
Otu0003	Bacteroides zhangwenhongii	MK583535	5	253	0.2841227334053502
Otu0003	Bacteroides faecichinchillae	AB574480	5	253	0.281614698560965
